%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1616790922457073861,260,1616790922400942564,map,-2.90615223405,-5.78409686311,0.0,0.0,0.0,-0.0224293242468,0.999748431063,0.0587857543961,-0.00221645976633,0.0,0.0,0.0,0.0,-0.00221645976633,0.00678897744744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322061085431
1616790922723516147,261,1616790922668123245,map,-2.64720268883,-5.77895984433,0.0,0.0,0.0,0.0102981738918,0.999946972401,0.0620070162921,-0.00065709353596,0.0,0.0,0.0,0.0,-0.000657093535956,0.00635082567813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342577065143
1616790922991854325,262,1616790922937069416,map,-2.39930417355,-5.77754164816,0.0,0.0,0.0,-0.000209371460979,0.999999978082,0.0669697122587,0.0019464130741,0.0,0.0,0.0,0.0,0.0019464130741,0.00624621055215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0349167792227
1616790923257251927,263,1616790923200897455,map,-2.16080598194,-5.78641677734,0.0,0.0,0.0,-0.00363440491291,0.999993395529,0.0618896363305,0.00322718325123,0.0,0.0,0.0,0.0,0.00322718325123,0.00734032821381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400813652595
1616790923524097469,264,1616790923468255758,map,-1.92315848033,-5.78402230517,0.0,0.0,0.0,0.00840639451891,0.999964665641,0.0544853719627,0.00418201702663,0.0,0.0,0.0,0.0,0.00418201702663,0.00838991300744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366127528504
1616790923927992219,265,1616790923868069887,map,-1.65550743994,-5.77579612211,0.0,0.0,0.0,0.0119452420132,0.999928653051,0.0507973431961,0.00420898807305,0.0,0.0,0.0,0.0,0.00420898807305,0.00936840893733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415305384737
1616790924592394572,266,1616790924534529924,map,-1.40937496396,-5.76448133637,0.0,0.0,0.0,0.0256513363031,0.999670950336,0.0480971946634,0.00643701347289,0.0,0.0,0.0,0.0,0.00643701347289,0.0116667268209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408584675823
1616790927191684867,267,1616790927134246111,map,-1.23316517286,-5.76202653521,0.0,0.0,0.0,0.0960363708739,0.995377825486,0.0486506507761,0.00583142571898,0.0,0.0,0.0,0.0,0.00583142571898,0.0137320786372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043241048311
1616790927864630160,268,1616790927801420212,map,-1.2374641822,-5.76548964819,0.0,0.0,0.0,0.369775676624,0.929121062606,0.049723335588,0.011187974373,0.0,0.0,0.0,0.0,0.011187974373,0.0147478429895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039653788095
1616790928595338027,269,1616790928537931204,map,-1.22875789855,-5.77069043866,0.0,0.0,0.0,0.61214243455,0.790747519644,0.0363469148613,0.012945516681,0.0,0.0,0.0,0.0,0.012945516681,0.021704260195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390679080405
